H2O Chem Phys Special Issue vol 258, pp 121-137 (2000)
T=298K Case (a) g_OH(r)

 Bin no.        r             g(r)        std.
    484  14.45997     0.9985297     0.2362747E-01
    485  14.48997     0.9979836     0.2316250E-01
    486  14.51997     0.9980221     0.2388090E-01
    487  14.54997     0.9986650     0.2216711E-01
    488  14.57997     0.9979460     0.2360727E-01
    489  14.60997     0.9974252     0.2361232E-01
    490  14.63997     0.9979260     0.2329977E-01
    491  14.66996     0.9977298     0.2242110E-01
    492  14.69996     0.9971428     0.2319850E-01
    493  14.72996     0.9975113     0.2308904E-01
    494  14.75996     0.9981714     0.2360096E-01
    495  14.78996     0.9982359     0.2369674E-01
    496  14.81996     0.9976556     0.2430885E-01
    497  14.84996     0.9979404     0.2450544E-01
    498  14.87996     0.9982444     0.2316507E-01
    499  14.90996     0.9979294     0.2317536E-01
    500  14.93996     0.9975750     0.2436885E-01
    501  14.96996     0.9978606     0.2363503E-01
    502  14.99996     0.9984276     0.2467149E-01
    503  15.02996     0.9990612     0.2431376E-01
    504  15.05996     0.9989240     0.2411931E-01
    505  15.08996     0.9985859     0.2373695E-01
    506  15.11996     0.9994292     0.2438108E-01
    507  15.14996     0.9990246     0.2492388E-01
    508  15.17996     0.9993321     0.2435785E-01
    509  15.20996     0.9997995     0.2428064E-01
    510  15.23996     0.9991692     0.2466304E-01
    511  15.26996     0.9993800     0.2611392E-01
    512  15.29996      1.000165     0.2533657E-01
    513  15.32996     0.9991328     0.2517965E-01
    514  15.35996     0.9999177     0.2545861E-01
    515  15.38996     0.9999628     0.2502888E-01
    516  15.41996     0.9988461     0.2519266E-01
    517  15.44996     0.9994907     0.2564058E-01
    518  15.47996     0.9988582     0.2531422E-01
    519  15.50996     0.9985034     0.2531892E-01
    520  15.53996     0.9991080     0.2507528E-01
    521  15.56996      1.000217     0.2601215E-01
    522  15.59996     0.9994800     0.2596972E-01
    523  15.62996     0.9994553     0.2588006E-01
    524  15.65996     0.9993548     0.2632760E-01
    525  15.68996     0.9999248     0.2611962E-01
    526  15.71996      1.000175     0.2595250E-01
    527  15.74996      1.000632     0.2644619E-01
    528  15.77995      1.001181     0.2630381E-01
    529  15.80995      1.000008     0.2548669E-01
    530  15.83995      1.001434     0.2662364E-01
    531  15.86995      1.000580     0.2620847E-01
    532  15.89995      1.000677     0.2643266E-01
    533  15.92995      1.002511     0.2681771E-01
    534  15.95995      1.002409     0.2687987E-01
    535  15.98995      1.002600     0.2755654E-01
    536  16.01995      1.003749     0.2741776E-01
    537  16.04996      1.003754     0.2748290E-01
    538  16.07996      1.003253     0.2698831E-01
    539  16.10996      1.003681     0.2726953E-01
    540  16.13996      1.004519     0.2629475E-01
    541  16.16996      1.004086     0.2767310E-01
    542  16.19996      1.004411     0.2821277E-01
    543  16.22996      1.003688     0.2845050E-01
    544  16.25996      1.003132     0.2780203E-01
    545  16.28996      1.002954     0.2931315E-01
    546  16.31996      1.003024     0.2839598E-01
    547  16.34996      1.002627     0.2857593E-01
    548  16.37996      1.001793     0.2853627E-01
    549  16.40996      1.001336     0.2885821E-01
    550  16.43996      1.001418     0.2861553E-01
    551  16.46996      1.000505     0.2916433E-01
    552  16.49997      1.000575     0.2893659E-01
    553  16.52997      1.000153     0.2958033E-01
    554  16.55997     0.9999318     0.2979516E-01
    555  16.58997     0.9996983     0.2962262E-01
    556  16.61997     0.9992849     0.2944704E-01
    557  16.64997     0.9989545     0.2949356E-01
    558  16.67997     0.9983304     0.3014123E-01
    559  16.70997     0.9986706     0.2960652E-01
    560  16.73997     0.9981823     0.3050097E-01
    561  16.76997     0.9968609     0.3090091E-01
