H2O Chem Phys Special Issue vol 258, pp 121-137 (2000)
T=298K Case (a) g_HH(r)

 Bin no.        r             g(r)        std.
    394  11.75999     0.9984994     0.2331894E-01
    395  11.78999     0.9979095     0.2260906E-01
    396  11.81999     0.9992567     0.2220606E-01
    397  11.84999     0.9985448     0.2298036E-01
    398  11.87999     0.9985968     0.2220606E-01
    399  11.90999     0.9987891     0.2238651E-01
    400  11.93999     0.9988688     0.2260906E-01
    401  11.96999     0.9995038     0.2301665E-01
    402  11.99999     0.9990635     0.2239317E-01
    403  12.02999     0.9983971     0.2358075E-01
    404  12.05999     0.9988515     0.2179425E-01
    405  12.08999     0.9993567     0.2337766E-01
    406  12.11999     0.9992229     0.2242641E-01
    407  12.14999     0.9992334     0.2188159E-01
    408  12.17999     0.9989697     0.2199164E-01
    409  12.20999     0.9990970     0.2168046E-01
    410  12.23999     0.9983095     0.2202684E-01
    411  12.26999     0.9992868     0.2218189E-01
    412  12.29999      1.000141     0.2097337E-01
    413  12.32999     0.9998586     0.2214289E-01
    414  12.35999      1.000051     0.2184752E-01
    415  12.38999     0.9997643     0.2102021E-01
    416  12.41998     0.9998771     0.2197266E-01
    417  12.44998     0.9990561     0.2185297E-01
    418  12.47998     0.9995823     0.2086367E-01
    419  12.50998     0.9992955     0.2043794E-01
    420  12.53998     0.9992669     0.2128789E-01
    421  12.56998     0.9994434     0.2162402E-01
    422  12.59998     0.9995438     0.2152318E-01
    423  12.62998     0.9987600     0.2068723E-01
    424  12.65998     0.9995181     0.2057310E-01
    425  12.68998     0.9996330     0.2160610E-01
    426  12.71998     0.9990104     0.2132705E-01
    427  12.74998      1.000353     0.2105563E-01
    428  12.77998     0.9998509     0.2009383E-01
    429  12.80998      1.000015     0.2116292E-01
    430  12.83998     0.9997674     0.2066416E-01
    431  12.86998      1.000304     0.2064974E-01
    432  12.89998      1.000753     0.1989409E-01
    433  12.92998      1.000975     0.2180929E-01
    434  12.95998      1.000644     0.2103297E-01
    435  12.98998      1.001374     0.2041167E-01
    436  13.01998      1.001672     0.2050491E-01
    437  13.04998      1.000821     0.2118826E-01
    438  13.07998      1.001417     0.2136475E-01
    439  13.10998      1.001594     0.2095062E-01
    440  13.13998      1.001373     0.2168595E-01
    441  13.16998      1.001578     0.2110087E-01
    442  13.19998      1.001225     0.2109522E-01
    443  13.22998      1.001313     0.2136753E-01
    444  13.25998      1.001000     0.2171617E-01
    445  13.28998      1.000990     0.2130608E-01
    446  13.31998      1.001530     0.2171617E-01
    447  13.34998      1.000837     0.2109522E-01
    448  13.37998      1.001527     0.2174360E-01
    449  13.40998      1.001360     0.2108957E-01
    450  13.43998      1.000430     0.2019443E-01
    451  13.46998      1.001371     0.2183660E-01
    452  13.49998      1.001488     0.2102446E-01
    453  13.52997      1.001166     0.2130608E-01
    454  13.55997      1.000564     0.2198350E-01
    455  13.58997      1.000151     0.2137590E-01
    456  13.61997      1.000630     0.2125847E-01
    457  13.64997      1.001338     0.2077348E-01
    458  13.67997      1.000282     0.2147328E-01
    459  13.70997      1.000376     0.2133962E-01
